trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
57,0,57,0,96.01992130000144,,96.00880589999724,96.01992130000144,97.02011270000366,97.02011270000366,97.52218080003513,0,up,1,0.4954419999849051,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
58,0,58,0,97.53619870002149,,97.52626409998629,97.53619870002149,98.53501270001289,98.53501270001289,99.05829910002649,2,down,1,0.5181475999997929,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
59,0,59,0,99.0701790000312,,99.06155270000454,99.0701790000312,100.06927350000478,100.08573540003272,101.48687720001908,0,down,0,1.4107212000526488,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
60,0,60,0,101.50253160001012,,101.48812910000561,101.50253160001012,102.50195930001792,102.50195930001792,103.4422152999905,0,down,0,0.903530600015074,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
61,0,61,0,103.46162240003468,,103.44426060002297,103.46162240003468,104.48552069999278,104.48552069999278,105.2532188000041,-2,up,0,0.7663901000050828,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
62,0,62,0,105.26810440002009,,105.25523090001661,105.26810440002009,106.26832600001944,106.26832600001944,107.16944760002661,0,down,0,0.8859455999918282,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
63,0,63,0,107.18513789999997,,107.17086549999658,107.18513789999997,108.18779090000317,108.2029840000323,108.85715870000422,0,up,1,0.6635323999798857,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
64,0,64,0,108.88494020001963,,108.86288120003883,108.88494020001963,109.85207180003636,109.88505310000619,110.52039860002697,0,up,1,0.665277199994307,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
65,0,65,0,110.53560780000407,,110.52222630003234,110.53560780000407,111.53496640000958,111.53496640000958,112.13658739998937,4,down,1,0.5921596000553109,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
66,0,66,0,112.15122599998722,,112.1385988999973,112.15122599998722,113.15169000002788,113.15169000002788,114.13853570003994,1,down,1,0.9711437000078149,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
